,year,total_births,male_births,female_births,crude_birth_rate,sex_ratio_at_birth,total_fertility_rate
0,1899,1386981,713442,673539,32.0,105.9,
1,1900,1420534,727916,692618,32.4,105.1,
2,1901,1501591,769494,732097,33.9,105.1,
3,1902,1510835,773296,737539,33.6,104.8,
4,1903,1489816,763806,726010,32.7,105.2,
5,1904,1440371,738230,702141,31.2,105.1,
6,1905,1452770,735948,716822,31.2,102.7,
7,1906,1394295,726155,668140,29.6,108.7,
8,1907,1614472,818114,796358,34.0,102.7,
9,1908,1662815,850209,812606,34.7,104.6,
10,1909,1693850,863855,829995,34.9,104.1,
11,1910,1712857,872779,840078,34.8,103.9,
12,1911,1747803,891049,856754,35.1,104.0,
13,1912,1737674,886449,851225,34.4,104.1,
14,1913,1757441,897824,859617,34.3,104.4,
15,1914,1808402,925855,882547,34.8,104.9,
16,1915,1799326,918296,881030,34.1,104.2,
17,1916,1804822,921347,883475,33.7,104.3,
18,1917,1812413,924953,887460,33.5,104.2,
19,1918,1791992,914685,877307,32.7,104.3,
20,1919,1778685,910400,868285,32.3,104.9,
21,1920,2025564,1035134,990430,36.2,104.5,
22,1921,1990876,1017457,973419,35.1,104.5,
23,1922,1969314,1004022,965292,34.3,104.0,
24,1923,2043297,1043599,999698,35.2,104.4,
25,1924,1998520,1019988,978532,33.9,104.2,
26,1925,2086091,1060827,1025264,34.9,103.5,
27,1926,2104405,1081793,1022611,34.6,105.8,
28,1927,2060737,1048946,1011791,33.4,103.7,
29,1928,2135852,1090702,1045150,34.1,104.4,
30,1929,2077026,1058666,1018360,32.7,104.0,
31,1930,2085101,1069551,1015549,32.4,105.3,
32,1931,2102784,1073385,1029399,32.1,104.3,
33,1932,2182742,1117954,1064788,32.9,105.0,
34,1933,2121253,1087688,1033565,31.5,105.2,
35,1934,2043783,1042736,1001047,29.9,104.2,
36,1935,2190704,1122867,1067836,31.6,105.2,
37,1936,2101969,1076197,1025772,30.0,104.9,
38,1937,2180734,1116154,1064580,30.9,104.8,
39,1938,1928321,990888,937433,27.2,105.7,
40,1939,1901573,973744,927829,26.6,104.9,
41,1940,2115867,1084282,1031585,29.4,105.1,
42,1941,2277283,1165437,1111846,31.8,104.8,
43,1942,2233660,1145068,1088592,30.9,105.2,
44,1943,2253535,1155983,1097552,30.9,105.3,
45,1947,2678792,1376986,1301806,34.3,105.8,4.54
46,1948,2681624,1378564,1303060,33.5,105.8,4.4
47,1949,2696638,1380008,1316630,33.0,104.8,4.32
48,1950,2337507,1203111,1134396,28.1,106.1,3.65
49,1951,2137689,1094641,1043048,25.3,104.9,3.26
50,1952,2005162,1028061,977101,23.4,105.2,2.98
51,1953,1868040,957524,910516,21.5,105.2,2.69
52,1954,1769580,911212,858368,20.0,106.2,2.48
53,1955,1730692,889670,841022,19.4,105.8,2.37
54,1956,1665278,856084,809194,18.4,105.8,2.22
55,1957,1566713,805220,761493,17.2,105.7,2.04
56,1958,1653469,848733,804736,18.0,105.5,2.11
57,1959,1626088,835822,790266,17.5,105.8,2.04
58,1960,1606041,824761,781280,17.2,105.6,2.0
59,1961,1589372,817599,771773,16.9,105.9,1.96
60,1962,1618616,833269,785347,17.0,106.1,1.98
61,1963,1659521,852561,806960,17.3,105.7,2.0
62,1964,1716761,882924,833837,17.7,105.9,2.05
63,1965,1823697,935366,888331,18.6,105.3,2.14
64,1966,1360974,705463,655511,13.7,107.6,1.58
65,1967,1935647,992778,942869,19.4,105.3,2.23
66,1968,1871839,967996,903843,18.6,107.1,2.13
67,1969,1889815,977687,912128,18.5,107.2,2.13
68,1970,1934239,1000403,933836,18.8,107.1,2.13
69,1971,2000973,1032937,968036,19.2,106.7,2.16
70,1972,2038682,1051389,987293,19.3,106.5,2.14
71,1973,2091983,1077517,1014466,19.4,106.2,2.14
72,1974,2029989,1046538,983451,18.6,106.4,2.05
73,1975,1901440,979091,922349,17.1,106.2,1.91
74,1976,1832617,943829,888788,16.3,106.2,1.85
75,1977,1755100,903380,851720,15.5,106.1,1.8
76,1978,1708643,879149,829494,14.9,106.0,1.79
77,1979,1642580,845884,796696,14.2,106.2,1.77
78,1980,1576889,811418,765471,13.6,106.0,1.75
79,1981,1529455,786596,742859,13.0,105.9,1.74
80,1982,1515392,777855,737537,12.8,105.5,1.77
81,1983,1508687,775206,733481,12.7,105.7,1.8
82,1984,1489780,764597,725183,12.5,105.4,1.81
83,1985,1431577,735284,696293,11.9,105.6,1.76
84,1986,1382946,711301,671645,11.4,105.9,1.72
85,1987,1346658,692304,654354,11.1,105.8,1.69
86,1988,1314006,674883,639123,10.8,105.6,1.66
87,1989,1246802,640506,606296,10.2,105.6,1.57
88,1990,1221585,626971,594614,10.0,105.4,1.54
89,1991,1223245,628615,594630,9.9,105.7,1.53
90,1992,1208989,622136,586853,9.8,106.0,1.5
91,1993,1188282,610244,578038,9.6,105.6,1.46
92,1994,1238328,635915,602413,10.0,105.6,1.5
93,1995,1187064,608547,578517,9.6,105.2,1.42
94,1996,1206555,619793,586762,9.7,105.6,1.43
95,1997,1191665,610905,580760,9.5,105.2,1.39
96,1998,1203147,617414,585733,9.6,105.4,1.38
97,1999,1177669,604769,572900,9.4,105.6,1.34
98,2000,1190547,612148,578399,9.5,105.8,1.36
99,2001,1170662,600918,569744,9.3,105.5,1.33
100,2002,1153855,592840,561015,9.2,105.7,1.32
101,2003,1123610,576736,546874,8.9,105.5,1.29
102,2004,1110721,569559,541162,8.8,105.2,1.29
103,2005,1062530,545032,517498,8.4,105.3,1.26
104,2006,1092674,560439,532235,8.7,105.3,1.32
105,2007,1089818,559847,529971,8.6,105.6,1.34
106,2008,1091156,559513,531643,8.7,105.2,1.37
107,2009,1070036,548994,521042,8.5,105.4,1.37
108,2010,1071305,550743,520562,8.5,105.8,1.39
109,2011,1050807,538271,512536,8.3,105.0,1.39
110,2012,1037232,531781,505451,8.2,105.2,1.41
111,2013,1029817,527657,502160,8.2,105.1,1.43
112,2014,1003609,515572,488037,8.0,105.6,1.42
113,2015,1005721,515468,490253,8.0,105.1,1.45
114,2016,977242,502012,475230,7.8,105.6,1.44
115,2017,946146,484478,461668,7.6,104.9,1.43
116,2018,918400,470851,447549,7.4,105.2,1.42
117,2019,865239,443430,421809,7.0,105.1,1.36
118,2020,840835,430713,410122,6.8,105.0,1.33
119,2021,811622,415903,395719,6.6,105.1,1.3
120,2022,770759,395257,375502,6.3,105.3,1.26
121,2023,727288,372603,354685,6.0,105.1,1.2
